dashboard_id,dataset_names,dashboard_name,dashboard_type,dashboard_rank,mandatory_src,optional_src,dataset_dict
0c0c7253-281e-4644-b7d5-204ee36d42ab,"['FacebookAds_Advertising_pbi', 'FacebookAds_Advertising_cumul']",FB Ads,MARKETING_FB_ADS,3,['FACEBOOK'],[],"{'FacebookAds_Advertising_pbi': 'be306e5f-c9c9-4efb-ac08-ff6637d1e08d', 'FacebookAds_Advertising_cumul': 'e8d47a07-05c5-422c-a114-d36f1cec43a9'}"
dbb593b7-a43e-44ca-9802-4f61b2eb3d14,"['GoogleAds_Advertising', 'GoogleAds_Targeting_PBI', 'GoogleAds_Campaignwise_pivot_cumul']",Google Ads,MARKETING_GOOGLE_ADS,4,['GOOGLEADS'],[],"{'GoogleAds_Advertising': '1c5971dc-57c9-41f8-bc20-89772cf576b6', 'GoogleAds_Targeting_PBI': '247c6617-15da-4f5a-8b21-4f93d2467e3c', 'GoogleAds_Campaignwise_pivot_cumul': '6963c392-6de2-4a5b-9ee1-433bf4fbd039'}"
5d336c02-de67-423b-9e4e-e0a12f2327e2,['EmailMarketing_pbi'],Email,MARKETING_EMAIL,5,['KLAVIYO3'],[],{'EmailMarketing_PBI': '79682e20-0990-419e-a249-d3a087e29227'}
9abd4e32-c9bc-4933-a17b-192d1f12fd8a,['Returns_PBI'],Returns,OPERATIONS_RETURNS,3,"['AMAZONSELLER','SHOPIFYV2']",[],{'Returns_PBI': '02d50340-3234-458f-812b-21c2f41a5242'}
c6457299-e150-49e9-b1bb-65af676d9928,"['BingAds_Targeting_pbi', 'BingAds_Advertising_pbi', 'BingAds_Campaignwise_pivot_cumul']",Bing Ads,MARKETING_BING_ADS,6,['BINGADS'],[],"{'BingAds_Targeting_pbi': 'b93ba395-d5f6-4361-9cb6-328a92c5a588', 'BingAds_Advertising_pbi': '7ec2b2e7-28ea-4539-8048-dd6412ef0dd8', 'BingAds_Campaignwise_pivot_cumul': 'a69bff97-06a5-4aae-98b4-66bc89235326'}"
bc4b22ca-e0b8-4a9e-ad1c-7ed4d0570b94,"['AmazonAds_Advertising_pbi', 'AmazonAds_campaignwise_pivot_cumul', 'AmazonAds_productwise_pivot_cumul', 'AmazonAds_Targeting_pbi', 'AmazonAds_tacos']",Amazon Ads,MARKETING_AMAZON_ADS,2,"['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS']",['AMAZONSELLER'],"{'AmazonAds_Advertising_pbi': '053647d7-aea8-4496-b5c8-d09b67d18517', 'AmazonAds_campaignwise_pivot_cumul': '3989e02d-59fd-46cd-9797-1f26fdbd7f79', 'AmazonAds_productwise_pivot_cumul': 'f67b33f6-b563-4b5b-95ea-1fe9cb7277b4', 'AmazonAds_Targeting_pbi': 'c44b18ed-4694-4eec-81b1-34b76ea2b18f', 'AmazonAds_tacos': '3e326da5-c040-4985-b494-f1b29ef62cd8'}"
b99f7ef7-d072-4c8c-8852-674fdefffe94,"['LostSpend_Advertising_pbi', 'LostSpend_Targeting_pbi']",Lost Spend,ADVANCED_MARKETING_ANALYTICS_LOST_SPEND_,2,"['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','KLAVIYO3']","['AMAZONSELLER','SHOPIFYV2']","{'LostSpend_Advertising_pbi': 'e288285a-a31e-4e15-bea3-1a822265f2bf', 'LostSpend_Targeting_pbi': '4dc33c35-9dba-4252-a793-ce238bb702d6'}"
a323bea1-2bfe-4c99-a4fe-333362107a6e,"['Executive_Dashboard_pbi', 'LostSpend_Advertising_pbi']",Overview,MARKETING_OVERVIEW,1,"['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','KLAVIYO3']","['AMAZONSELLER','SHOPIFYV2','GA4','GSS']","{'Executive_Dashboard_pbi': 'c5137faa-2ba4-4af8-8784-c2eb693d1623', 'LostSpend_Advertising_pbi': 'e288285a-a31e-4e15-bea3-1a822265f2bf'}"
27af5e87-fcff-458a-9756-83c03a094f92,['PnL_Amazon_Cumul'],PnL Amazon,FINANCE_PNL_AMAZON,2,['AMAZONSELLER'],"['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GSS']",{'PnL_Amazon_Cumul': '1c777a54-1116-43bc-bc63-cf42e29b66d7'}
e5110000-e62a-4a9d-8e0c-43c7cd887a2d,"['Inventory_Amazon_cumul', 'Inventory_Amazon_DistinctAsins']",Inventory Amazon,OPERATIONS_AMAZON_INVENTORY,1,['AMAZONSELLER'],"['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GSS']","{'Inventory_Amazon_cumul': '817b08bc-e222-4758-97a4-f1ac4e4fc4d1', 'Inventory_Amazon_DistinctAsins': '11c7d7ed-a358-49df-9cea-c7443ace03de'}"
144886e1-57a9-40b9-8a9c-2e57f5e954ff,"['amazon_account_overview_customer_rfm_cumul', 'amazon_account_overview_product_cumul', 'Amazon_account_overview_customer_section_cumul', 'Amazon_account_overview_listings_cumul', 'Amazon_account_overview_feedback', 'amazon_account_overview_sales_marketing_profit', 'Amazon_account_overview_sales']",Account Overview Amazon,SALES_ACCOUNT_OVERVIEW_AMAZON,4,['AMAZONSELLER'],"['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GSS']","{'amazon_account_overview_customer_rfm_cumul': '1cf4185b-d247-4a26-a90d-8d6661904d84', 'amazon_account_overview_product_cumul': 'fa864a6e-9744-4bbe-93a3-f58f56521564', 'Amazon_account_overview_customer_section_cumul': 'd60d2de5-59ae-438e-beee-77a1c7f58bcd', 'Amazon_account_overview_listings_cumul': '29f8f324-d19b-4701-9911-04c57145e5a9', 'Amazon_account_overview_feedback': 'bc2ac8be-6709-4861-9a76-245ebc48d61e', 'amazon_account_overview_sales_marketing_profit': '57a4f81a-004e-4a6c-8dc8-6b2bd531e722', 'Amazon_account_overview_sales': '8c868972-539a-4f79-8154-45a6bbf256aa'}"
d53d02ca-a1d5-4161-8140-acfcc9b320cf,"['Shopify_Account_Overview_Sales', 'shopify_account_overview_customer_cumul', 'shopify_account_overview_product_cumul', 'Shopify_Account_Overview_Sales_Marketing_Profits', 'shopify_account_overview_customer_rfm_cumul']",Account Overview Shopify,SALES_ACCOUNT_OVERVIEW_SHOPIFY,5,['SHOPIFYV2'],"['GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'Shopify_Account_Overview_Sales': '6b1fb25a-9e46-4722-be52-803ba37a947e', 'shopify_account_overview_customer_cumul': '5660f5ea-87f4-4aa8-983b-012622951a17', 'shopify_account_overview_product_cumul': '69c82aa4-73c7-4608-aa8e-ce331e18dc4e', 'Shopify_Account_Overview_Sales_Marketing_Profits': '3e530a07-e165-44ff-9b23-be030360b8cb', 'shopify_account_overview_customer_rfm_cumul': '4d2638ec-965c-4119-a680-a0248b37560d'}"
15f7c7bc-2007-4a6e-b1f0-40105990c5fb,['Executive_Dashboard_cumul'],Executive Snapshot,SALES_EXECUTIVE_SNAPSHOT,2,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Executive_Dashboard_cumul': '16082f67-6a67-4731-80f0-56d3c54d6c0b'}
237e7ae2-0725-455d-b8ef-c2ad84f8d27f,['Vendor_dashboards_final_for_PBI_and_Cumul'],Vendor Central,OPERATIONS_VENDOR_CENTRAL,6,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Vendor_dashboards_final_for_PBI_and_Cumul': '4ac2fe6f-8a0f-44f9-9e56-341947869417'}
a0a3fa1d-90d3-4867-aac4-2538ea068ce1,['Listings_PBI'],Amazon Listings Performance,OPERATIONS_AMAZON_LISTINGS,5,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Listings_PBI': 'e93bd386-6acf-4580-9243-d55db7561b7e'}
22d33a17-e735-4bc2-9ae3-78f321eac383,['Executive_Dashboard_pbi'],Channel Comparison,SALES_CHANNEL_COMPARISON,1,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Executive_Dashboard_pbi': 'c5137faa-2ba4-4af8-8784-c2eb693d1623'}
ae74ac36-0b21-4b1c-a8b2-ea06c266d78f,"['customer_rfm_segments_cumul', 'customer_glance_customer_metrics_pbi', 'customer_glance_pbi', 'customer_glance_cltv_cumul', 'customer_cohortwise_pivot_cumul']",Customer,CUSTOMER_OVERVIEW,1,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'customer_rfm_segments_cumul': 'd9e35bf0-9055-4a28-9d64-3638cf9f7ef0', 'customer_glance_customer_metrics_pbi': 'a5020c43-64ec-46ec-ac46-985e52f4fa27', 'customer_glance_pbi': '09fe41b3-1f22-4677-88c5-dfd759c5cf2d', 'customer_glance_cltv_cumul': 'c5d4f54c-df52-4e09-8a71-13429210824e', 'customer_cohortwise_pivot_cumul': '714d7ce0-2f11-494b-89b9-f4b49808c148'}"
