"dashboard_id","dashboard_name","dashboard_type","dashboard_group_rank","mandatory","optional"
"1570e836-2cc9-4d71-b366-83bd23d55d06",Date Browser Custom,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_CUSTOM,6,"[
      ""SHOPIFYV2""
    ]",[]
"17eb97f1-1a05-48f7-8867-9b6e12849564",Google Ads,MARKETING_GOOGLE_ADS,4,"[
      ""SHOPIFYV2""
    ]",[]
"7ab570b2-1194-4fc3-a09f-ff6c7c190f17",Executive Trends,SALES_EXECUTIVE_TRENDS,3,"[
      ""SHOPIFYV2""
    ]",[]
"40dd89d2-b0ff-49ee-b25d-6b8e2be78ee3",Facebook Ads,MARKETING_FB_ADS,3,"[
      ""SHOPIFYV2""
    ]",[]
"47ff1963-2098-401f-8389-870825a0ccfb",Amazon Ads,MARKETING_AMAZON_ADS,2,"[
      ""SHOPIFYV2""
    ]",[]
f020bf2c-9b9b-4f45-bcf9-edf75176b034,Channels Comparision,SALES_CHANNEL_COMPARISON,1,"[
      ""SHOPIFYV2""
    ]",[]
"159a623f-be52-40c0-b630-e14ac84979ae",Account Overview Amazon,SALES_ACCOUNT_OVERVIEW_AMAZON,4,"[
      ""SHOPIFYV2""
    ]",[]
f5e5c862-4214-4189-a88e-98fc42994481,Executive Snapshot,SALES_EXECUTIVE_SNAPSHOT,1,"[""AMAZONSELLER"",""SHOPIFYV2""]",[]
"810ff31f-d058-4bf1-816d-34fc8c5e40f7",Marketing Overview,MARKETING_OVERVIEW,1,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"174ebe47-6b1b-47dd-a251-5bb5903802d3",Date Browser Monthly,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_MONTHLY,9,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
c124cc86-55ae-4075-ab4b-887d18cae5ba,Date Browser Weekly,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_WEEKLY,8,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"5d9b8319-616d-412e-9f5e-422aa9259f72",Date Browser Yearly,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_YEARLY,10,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
