dashboard_name,dashboard_id,dashboard_type
Inventory Amazon,c6de76e2-f6fe-4e42-9c78-b3f1026bd063,OPERATIONS_AMAZON_INVENTORY
Executive Snapshot,f5e5c862-4214-4189-a88e-98fc42994481,SALES_EXECUTIVE_SNAPSHOT
Executive Trends,7ab570b2-1194-4fc3-a09f-ff6c7c190f17,SALES_EXECUTIVE_TRENDS
Channel Comparison,f020bf2c-9b9b-4f45-bcf9-edf75176b034,SALES_CHANNEL_COMPARISON
Product Overview,318b4946-9080-450f-983d-762a2f8d345f,PRODUCT_OVERVIEW
Customer Overview,7be3c509-85ba-4d2b-9b84-04f980f442e6,CUSTOMER_OVERVIEW
Account Overview Amazon,159a623f-be52-40c0-b630-e14ac84979ae,SALES_ACCOUNT_OVERVIEW_AMAZON
Account Overview Shopify,dbab9061-3de5-4930-9a2d-ef39b2824643,SALES_ACCOUNT_OVERVIEW_SHOPIFY
Email Marketing,332bd7ea-cc37-4a66-a4f2-c9f2e225c609,MARKETING_EMAIL
Bing Ads,321590c9-229c-4f17-9b19-d625323a7eac,MARKETING_BING_ADS
Listings,217a21ec-5a46-492c-ae9f-c30ae8b4ba5d,OPERATIONS_AMAZON_LISTINGS
