dashboard_name,dashboard_id,dashboard_type,dashboard_rank,mandatory_src,optional_src
Marketing Overview,810ff31f-d058-4bf1-816d-34fc8c5e40f7,MARKETING_OVERVIEW,1,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Date Browser Monthly,174ebe47-6b1b-47dd-a251-5bb5903802d3,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_MONTHLY,9,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Date Browser Weekly,c124cc86-55ae-4075-ab4b-887d18cae5ba,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_WEEKLY,8,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Date Browser Custom,1570e836-2cc9-4d71-b366-83bd23d55d06,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_CUSTOM,6,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Date Browser Daily,7610db64-d565-4229-a2ad-75b7c9ffa030,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_DAILY,7,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Date Browser Yearly,5d9b8319-616d-412e-9f5e-422aa9259f72,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_YEARLY,10,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Lost spend,6d2fe752-57ee-4aa5-9165-bb9aed077885,ADVANCED_MARKETING_ANALYTICS_LOST_SPEND_,2,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Returns,c5e00205-8649-48f5-9615-40852b39efcc,OPERATIONS_RETURNS,3,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Amazon Ads,47ff1963-2098-401f-8389-870825a0ccfb,MARKETING_AMAZON_ADS,2,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Facebook Ads,40dd89d2-b0ff-49ee-b25d-6b8e2be78ee3,MARKETING_FB_ADS,3,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Google Ads,17eb97f1-1a05-48f7-8867-9b6e12849564,MARKETING_GOOGLE_ADS,4,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
PnL Amazon,93851471-b5db-4c84-9408-397c89917d44,FINANCE_PNL_AMAZON,2,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Finance Overview,e73cafca-7297-45db-9602-bd9db55a9f35,FINANCE_OVERVIEW,1,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Inventory Amazon,c6de76e2-f6fe-4e42-9c78-b3f1026bd063,OPERATIONS_AMAZON_INVENTORY,1,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Executive Snapshot,f5e5c862-4214-4189-a88e-98fc42994481,SALES_EXECUTIVE_SNAPSHOT,2,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
Executive Trends,7ab570b2-1194-4fc3-a09f-ff6c7c190f17,SALES_EXECUTIVE_TRENDS,3,"['AMAZONSELLER', 'SHOPIFYV2']","['AMAZONSBADS', 'AMAZONSDADS', 'AMAZONSPADS', 'GOOGLEADS', 'FACEBOOK', 'BINGADS', 'GA4', 'KLAVIYO3', 'PINTEREST_V2', 'GSS']"
